Id,Id_linea,Nombre,Descripcion,Imagen,Brochure,Vademecum,Video,Params_dist,Proteina,Grasa,Humedad,Fibra,Ceniza,Eln,Orden,Keyword,Target
68,4,Youpig! Baby,Preinciador para lechones antes de 21 días o menos de 6 kg al destete.,Content/img/cerdo/youpig-baby-25.png,,Content/brochure/FTECNICAS_YOUPIG_1_DIGITAL.pdf,,,20.5      ,7.5       ,12        ,2.5       ,6.5       ,51        ,1,NULL,NULL
69,4,Youpig! 1,Preiniciador para lechones del día 21 al 32 o de 6 kg a 9 kg de peso   corporal,Content/img/cerdo/youpig-1-25.png,,Content/brochure/FTECNICAS_YOUPIG_2_DIGITAL.pdf,,,20        ,7         ,12        ,3         ,6         ,52        ,2,NULL,NULL
70,4,Youpig! 2,Preiniciador para lechones del día 32 al 42 o de 9 kg a 12 kg de peso  corporal,Content/img/cerdo/youpig-2-40.png,,Content/brochure/FTECNICAS_YOUPIG_3_DIGITAL.pdf,,,19        ,5.5       ,12        ,3         ,6.5       ,54        ,3,NULL,NULL
71,4,Youpig! 3,Preiniciador para lechones del día 42 al 49 o de 12 kg a 16 kg de peso corporal,Content/img/cerdo/youpig-3-40.png,,Content/brochure/FTECNICAS_YOUPIG_4_DIGITAL.pdf,,,18.5      ,4.5       ,12        ,3.5       ,6         ,55.5      ,4,NULL,NULL
72,4,Youpig! Inicio,Preiniciador para lechones del día 50 a 70 o de 15 kg a 30 kg de peso corporal,Content/img/cerdo/youpig-inicio-40.png,,Content/brochure/FTECNICAS_YOUPIG_5_DIGITAL.pdf,,,18        ,4         ,12        ,3         ,6         ,57        ,5,NULL,NULL
73,18,Growpig! Crecimiento,Alimento Balanceado medicado para el óptimo crecimiento de cerdos en un rango de peso vivo de entre 30 y 50 kgs.,Content/img/cerdo/malta-growpig-crecimiento-40.png,,Content/brochure/FICHAS_TECS_GROWPIG_1.pdf,,,17        ,4         ,12        ,3         ,6         ,58        ,1,NULL,NULL
74,18,Growpig! Desarrollo,Alimento para el óptimo crecimiento de cerdos en un rango de peso vivo de entre 50 y 75 kg.,Content/img/cerdo/malta-growpig-desarrollo-40.png,,Content/brochure/FICHAS_TECS_GROWPIG_2.pdf,,,15        ,4         ,12        ,3         ,6         ,60        ,2,NULL,NULL
75,18,Growpig! Poder,Alimento finalizador de cerdo. Indicado durante las últimas 4 semanas de la engorda. En un rango de peso entre 75 y 100 kg,Content/img/cerdo/malta-growpig-poder-40.png,,Content/brochure/FICHAS_TECS_GROWPIG_3.pdf,,,16.5      ,3.5       ,12        ,3.5       ,5         ,59.5      ,3,NULL,NULL
76,18,Growpig! Gestación,Alimento Superpremium Balanceado para cerdas en gestación,Content/img/cerdo/malta-growpig-gestacion-40.png,,Content/brochure/FICHAS_TECS_GROWPIG_4.pdf,,,13.5      ,4         ,12        ,7         ,6.5       ,57        ,4,NULL,NULL
77,18,Growpig! Lactancia,Alimento Superpremium balanceado para cerdas en lactancia,Content/img/cerdo/malta-growpig-lactancia-40.png,,Content/brochure/FICHAS_TECS_GROWPIG_5.pdf,,,17.5      ,5.5       ,12        ,6.5       ,6.5       ,52        ,5,NULL,NULL
78,20,Súper Apilac Ultra 1,Preiniciador medicado para lechones de 22 a 35 días de edad,Content/img/cerdo/super-apilac-ultra-1-25.png,,Content/brochure/Ficha_Apilac.png,,,21        ,6         ,12        ,2.5       ,6.5       ,52        ,1,NULL,NULL
79,20,Súper Apilac 2,Preiniciador medicado para lechones de 36 a 49 días de edad,Content/img/cerdo/super-apilac-ultra-2-25.png,,Content/brochure/Ficha_Apilac.png,,,19.5      ,5.5       ,12        ,3         ,6.5       ,53.5      ,2,NULL,NULL
80,20,Súper Apilac 3,Preiniciador medicado para lechones de 50 a 70 días de edad,Content/img/cerdo/super-apilac-ultra-3-25.png,,Content/brochure/Ficha_Apilac.png,,,18        ,5         ,12        ,3.5       ,7         ,54.5      ,3,NULL,NULL
81,50,Carnerina No. 1,Alimento Iniciador hasta los 35 Kg. de peso,Content/img/cerdo/api-aba-carnerina-premium-20.png,,Content/brochure/Carnerina.pdf,,,18        ,4         ,12        ,4         ,8         ,54        ,74,NULL,NULL
82,50,Carnerina No. 2,"Fase de Crecimiento, para cerdos entre 35 y 70 Kg. de peso",Content/img/cerdo/api-aba-carnerina-premium-40.png,,Content/brochure/Carnerina.pdf,,,16        ,3         ,12        ,5         ,8         ,56        ,75,NULL,NULL
83,50,Carnerina No. 3,Alimento para cerdos en fase de engorda. Suministrar desde los 70 kg hasta su salida al mercado,Content/img/cerdo/api-aba-carnerina-premium-40.png,,Content/brochure/Carnerina.pdf,,,14        ,3         ,12        ,5         ,8         ,58        ,76,NULL,NULL
84,50,Finalizador Engorda Cerdos,Alimento finalizador con Ractopamina,Content/img/cerdo/api-aba-carnerina-premium-20.png,,Content/brochure/Carnerina.pdf,,,16        ,3         ,12        ,4         ,7         ,58        ,77,NULL,NULL
85,50,Carnerina No.4 Lactancia,Alimento para cerdas en lactancia: Dar 2 Kg. más 1/2 Kg. por cada lechón amamantado,Content/img/cerdo/api-aba-carnerina-premium-20.png,,Content/brochure/Carnerina.pdf,,,17        ,6         ,12        ,6         ,10        ,49        ,78,NULL,NULL
86,50,Carnerina No.5 Gestación,Alimento para cerdas gestantes: Dar de 2 a 3 Kg según condición corporal.,Content/img/cerdo/api-aba-carnerina-premium-20.png,,Content/brochure/Carnerina.pdf,,,13        ,4         ,12        ,7         ,10        ,54        ,79,NULL,NULL
87,50,Concentrado Carnerina Crecimiento-Engorda,Alimento Concentrado para cerdos de 30 a 70 Kg.,Content/img/cerdo/api-aba-carnerina-premium-20.png,,Content/brochure/Carnerina.pdf,,,36        ,2         ,12        ,10        ,22        ,18        ,80,NULL,NULL
88,50,Concentrado Carnerina Crecimiento-Engorda Reproductores,"Alimento concentrado para cerdos en etapa de gestación, lactancia o sementales",Content/img/cerdo/api-aba-carnerina-premium-20.png,,Content/brochure/Carnerina.pdf,,,35        ,2         ,12        ,12        ,24        ,15        ,81,NULL,NULL
89,21,Iniciapork Mejorado,Iniciador para cerdos hasta los 35 Kg.,Content/img/cerdo/api-aba-pork-20.png,,Content/brochure/PORK.jpg,,,17.5      ,2.5       ,12        ,5         ,9         ,54        ,1,NULL,MVZ|PROD|DIST
90,21,Crecipork Mejorado,Alimento para cerdos en fase de crecimiento de los 35 hasta los 70 Kg. de peso,Content/img/cerdo/api-aba-pork-20.png,,Content/brochure/PORK.jpg,,,15.5      ,2.5       ,12        ,7         ,9         ,54        ,2,NULL,MVZ|PROD|DIST
91,21,Engordapork Mejorado,Alimento para cerdos en fase de engorda de los 70 Kg. hasta su salida al mercado,Content/img/cerdo/api-aba-pork-20.png,,Content/brochure/PORK.jpg,,,13.5      ,2.5       ,12        ,8         ,9         ,55        ,3,NULL,MVZ|PROD|DIST
92,21,Reprodupork Mejorado,"Alimento para cerdas gestantes, en lactancia o sementales",Content/img/cerdo/api-aba-pork-20.png,,Content/brochure/PORK.jpg,,,14.5      ,2.5       ,12        ,8         ,10        ,53        ,4,NULL,MVZ|PROD|DIST
93,21,Concentrapork Mejorado,Concentrado para cerdos en desarrollo de los 35 Kg hasta su peso de mercado,Content/img/cerdo/api-aba-pork-20.png,,Content/brochure/PORK.jpg,,,36        ,2         ,12        ,10        ,25        ,15        ,5,NULL,MVZ|PROD|DIST
94,51,Cerdipower Crecimiento,"Fase de Crecimiento, para cerdos entre 35 y 70 Kg. de peso",Content/img/cerdo/malta-cerdipower-40.png,,Content/brochure/Carnerina.pdf,,,16        ,3         ,12        ,5         ,8         ,56        ,90,NULL,NULL
95,51,Cerdipower Finalizador,"Fase de Engorda, suministrar de 70 Kg. hasta su salida a mercado",Content/img/cerdo/malta-cerdipower-40.png,,Content/brochure/Carnerina.pdf,,,14        ,3         ,12        ,5         ,8         ,58        ,91,NULL,NULL
96,51,Cerdipower Lactancia,Alimento para cerdas en lactancia: Dar 2 Kg. más 1/2 Kg. por cada lechon amamantado,Content/img/cerdo/malta-cerdipower-40.png,,Content/brochure/Carnerina.pdf,,,17        ,6         ,12        ,6         ,10        ,49        ,92,NULL,NULL
97,51,Cerdipower Gestación,Alimento para cerdas gestantes: Dar de 2 a 3 Kg. según condición corporal,Content/img/cerdo/malta-cerdipower-40.png,,Content/brochure/Carnerina.pdf,,,13        ,4         ,12        ,7         ,10        ,54        ,93,NULL,NULL
98,51,Concentrado Cerdipower Crecimiento Engorda,Alimento Finalizador con Ractopamina,Content/img/cerdo/malta-cerdipower-40.png,,Content/brochure/Carnerina.pdf,,,36        ,2         ,12        ,10        ,22        ,18        ,94,NULL,NULL
99,51,Concentrado Cerdipower Reproductores,Alimento Concentrado para cerdos de 30 a 70 Kg. ,Content/img/cerdo/malta-cerdipower-40.png,,Content/brochure/Carnerina.pdf,,,35        ,2         ,12        ,12        ,24        ,15        ,95,NULL,NULL
100,45,Genesa,Alimento para pollo de engorda desde el dia 0 al 14 de edad,Content/img/pollo/genesa-20.png,,Content/brochure/ficha_tec_gen.pdf,,,22        ,4         ,12        ,4         ,8         ,50        ,NULL,NULL,NULL
101,63,Golden egg Fase 1,Alimento para aves de postura adicionado con Perfegg desde la postura del primer huevo hasta las 36 semanas de edad,Content/img/pollo/golden-egg-40.png,,Content/brochure/ficha_tec_golden.pdf,,,18        ,5         ,12        ,4         ,15        ,46        ,NULL,NULL,NULL
102,63,Golden egg Fase 2,Alimento para aves de postura adicionado con Perfegg de las 37 a las 60 semanas de edad,Content/img/pollo/golden-egg-40.png,,Content/brochure/ficha_tec_golden.pdf,,,17.5      ,4         ,12        ,3.5       ,14        ,49        ,NULL,NULL,NULL
103,63,Golden egg Fase 3,Alimento para aves de postura adicionado con Perfegg de las 61 a las 103 semanas de edad,Content/img/pollo/golden-egg-40.png,,Content/brochure/ficha_tec_golden.pdf,,,17        ,5         ,12        ,3.5       ,14        ,48.5      ,NULL,NULL,NULL
104,63,Golden egg Pelecha,Alimento para aves de postura durante el 2o ciclo de producción,Content/img/pollo/golden-egg-40.png,,Content/brochure/ficha_tec_golden.pdf,,,16        ,3.5       ,12        ,3.5       ,15.5      ,49.5      ,NULL,NULL,NULL
